"","United States","Canada","Bahamas, The","Cuba","Haiti","Dominican Rep.","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua and Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela, Rep. Bolivariana de","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands, The","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland, Rep. of","Austria","Hungary","Czech Rep.","Slovenia, Rep. of","Italy","San Marino, Rep. of","Malta","Albania","Montenegro","North Macedonia, Republic of","Croatia, Rep. of","Bosnia and Herzegovina","Kosovo, Rep. of","Greece","Cyprus","Bulgaria","Moldova, Rep. of","Romania","Russian Federation","Estonia, Rep. of","Latvia","Lithuania","Ukraine","Belarus, Rep. of","Armenia, Rep. of","Georgia","Azerbaijan, Rep. of","Finland","Sweden","Norway","Denmark","Iceland","Guinea-Bissau","Equatorial Guinea, Rep. of","Gambia, The","Mali","Senegal","Benin","Mauritania, Islamic Rep. of","Niger","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Rep.","Chad","Congo, Rep. of","Uganda","Kenya","Tanzania, United Rep. of","Burundi","Rwanda","Somalia","Djibouti","Angola","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Botswana","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","South Sudan, Rep. of","Iran, Islamic Rep. of","Turkey","Iraq","Egypt, Arab Rep. of","Syrian Arab Rep.","Lebanon","Jordan","Israel","Saudi Arabia","Yemen, Rep. of","Kuwait","Bahrain, Kingdom of","Qatar","United Arab Emirates","Oman","Afghanistan, Islamic Rep. of","Turkmenistan","Tajikistan, Rep. of","Uzbekistan, Rep. of","Kazakhstan, Rep. of","China, P.R.: Mainland","Mongolia","Taiwan Province of China","Korea, Dem. People's Rep. of","Korea, Rep. of","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Vietnam","Malaysia","Singapore","Brunei Darussalam","Philippines","Indonesia","Timor-Leste, Dem. Rep. of","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Tuvalu","Fiji, Rep. of","Tonga","Nauru, Rep. of","Marshall Islands, Rep. of the","Palau, Rep. of","Micronesia, Federated States of","Samoa"
"United States",0,22517.574482,198.029815,11.630906,125.218014,720.793839,126.469735,139.28245,57.734183,8.860131,8.842831,18.6873,10.903427,39.588845,12.639192,19301.947369,25.791737,516.697636,412.530957,271.833688,137.82666,448.919586,550.092709,1007.02996,110.411673,53.450561,19.477789,381.430419,706.14406,3174.752927,39.873514,141.075096,1002.096484,502.125495,76.520732,5366.734595,921.678986,3973.655548,2506.840615,106.612738,2004.670508,2002.470914,927.534734,109.162266,4871.5069,363.529447,333.322898,214.059114,299.590641,71.365988,1619.540716,0.006287,63.258289,4.306684,1.960758,5.366059,35.927685,1.67677,2.319353,107.318785,3.562525,53.111978,2.686459,92.270342,430.569694,20.271585,33.245624,92.15218,162.291654,6.936188,1.163648,41.658025,11.535421,105.577543,321.100874,205.022304,203.342506,12.557601,1.043355,4.287474,4.474222,5.256241,31.768914,18.914862,20.417767,5.309196,7.13013,4.384451,8.068809,9.100086,74.976327,12.952278,10.21278,248.766816,5.664115,0.994329,4.819667,11.096994,7.032766,28.873242,36.053688,0.253387,1.178928,1.532819,14.558887,35.220355,4.00658,3.617225,1.023164,333.488211,1.737956,2.725945,3.725861,6.138386,174.16053,56.134855,66.198751,13.900275,1.082778,1.262009,1.423396,745.665596,46.676194,416.142665,0.098026,63.86009,138.116831,831.363727,768.036233,4.807844,218.79645,56.504538,184.284774,1203.270168,89.652925,35.501008,6.886706,1.407347,20.56852,26.377697,14179.314111,9.473127,2589.113793,0,3876.899063,5035.79564,2683.895013,0.200347,278.836161,118.328219,22.698798,31.320876,2.115324,8.676952,974.131014,42.404654,819.050202,1069.880569,2201.339375,4.313834,599.100695,702.507686,0,1972.222315,2.675069,266.931346,0.173488,0.399611,0.071316,0.057361,2.526185,1.787487,0.081531,29.85914,1.252167,9.612755,2.908823
"Canada",25350.062435,0,3.460346,20.618091,6.561711,18.769325,9.226119,10.215081,5.142094,0.254909,0.58253,2.213086,3.27527,0.54342,0.487954,500.161953,0.262634,7.780868,3.806465,3.242547,15.062549,12.482125,10.525951,43.338472,13.486613,1.621563,1.154823,33.46587,68.890653,123.145481,0.676129,0.699486,85.992874,16.040967,1.898071,2089.598,72.608311,413.522377,129.442469,56.836775,262.192169,96.159901,137.571511,46.359642,455.731281,31.701415,10.022767,5.498386,10.333146,2.3668,304.857409,0,0.920898,3.544269,0.275922,0.168777,2.308766,0.206767,0,27.662855,0.609281,4.193155,0.258794,5.761157,41.515597,1.830586,6.063019,7.94523,9.755781,1.342355,0.991578,3.496394,0.146918,86.210712,23.066855,243.139403,37.454265,2.722532,0.180876,0.236741,0.19245,1.550801,8.446344,1.815583,1.381895,0.39337,1.716384,3.618298,0.214319,0.470763,13.507535,3.025882,7.152123,39.171767,1.473009,0.011089,0.157992,1.284886,1.292408,2.17535,0.852777,0.024114,0.195088,0.107947,0.13853,2.1177,0.534271,0.094538,0.191747,17.982155,0.290741,0.338069,0.575835,0.011728,55.734749,60.609609,17.663235,2.865523,9.524093,0.074362,31.050393,54.362993,6.798324,38.219207,0.098591,6.98184,5.746944,31.655745,27.003767,0.073054,8.995687,3.211274,8.450252,119.329459,9.114114,0.283534,0.244153,0.011472,0.30992,2.095045,1596.871632,1.282565,122.250657,0,282.815569,871.193923,245.151203,0,43.675772,65.253138,6.931043,28.191407,3.672788,9.617933,57.711168,3.958978,60.290159,47.348289,50.217335,0.187782,99.309367,94.392513,0.021795,136.08388,0.689108,26.295709,0.024461,0,0,0,0.167106,0,0,0,0,0,0
"Bahamas, The",22.001544,0.057321,0,0,0.002834,0.002938,0.006625,0,0.000287,0.001924,0,2.4e-05,0.000835,0.000366,0.000551,0,0,0,0,0,0,0.006475,9.352833,0,0,0,0.071504,0,0,0,0,0.000836,4e-04,0,0.000417,0.184291,5.1e-05,0.035613,0.07762,0.003172,0.363635,0.000643,0.226073,6e-06,0.028472,0.00041,0,0,0,0,0.034183,0,0,0,0,4.1e-05,0,0,0,0.018899,0,0,0.000256,0,0,0,7.8e-05,0,0,0,0,0,0,0.000836,0.148067,1.2e-05,0.001933,0,0,0,0,0,0,0,0,0,7e-06,0,0,0,0,0,0.007892,6.7e-05,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.027926,5e-06,0,0.004335,0.000671,0,0,0,0,0,0,0,0,0,0,0,0,0,0.001847,0,0,0.000401,0.000271,0,0,0,0,0,0,0,1.8e-05,3.048464,0,0.00119,0.003054,0.079625,0,0.003248,0,0,0,0,0,0,0,0.001791,0,0,0,112.594257,0,0,0,0,0,0,0,0,0,0.001008,0,0,0,0,0,0,0,0
"Cuba",0.403589,1.872132,0.192552,0,0.843912,2.053829,0.277572,0.048229,0,0.016188,0.021513,0.027187,0.021351,0.017519,0.02125,1.038722,0.024177,0.030748,0.969618,0.021503,0,0.237155,1.267634,0.004506,21.933071,0.104576,0.035102,0.019628,7.5e-05,0.054674,3.130746,0.036306,0.048174,0.007846,0.114531,0.430735,0,0.06595,2.39551,0,3.205589,4.439226,9.78028,2.25302,4.101168,0.007425,0.050861,0.00017,0.227642,0.00431,1.176073,0,0,0.036803,0.025186,0,0.000592,0.003215,0,0.01293,3.189289,0.010001,6.4e-05,0,6.932453,0.87542,0,0,0.002624,0.012014,0,0,0,0.000503,0.145577,0.018429,0,0,0.004787,0,0,0.033359,0.003139,0.000674,0.004247,0.021195,9.5e-05,0.000638,0,0,0.006932,0.002125,0.008658,0,0,0,0,0,0.000299,0,0.008492,0,9.7e-05,0,0,0.127525,0,0,2e-05,0.120214,0,0,0.079805,0.001045,0.610628,0.165544,0.018062,0,0,0,0.195495,2.174555,0,0,0.010396,0.441161,5.8e-05,0.12879,0,0.003708,0,0,0,0.004205,0,0,0,0,0,0,1.757764,0.009134,3.06711,0.005066,0.19561,0.228192,0.002557,2.3e-05,0.340804,0.012629,0,0.003973,0.001732,5e-06,0.178454,0,0.144479,0.116936,0,0,0.069031,0.548971,0,0.219108,0,0.017448,0.000593,0,0,0,0,0,0,0,0,0,0
"Haiti",72.824988,5.656707,0.019601,0.020856,0,1.218711,0.302284,0.094853,0.000348,8.3e-05,0,0.018614,0.002665,0.000302,2.8e-05,2.39,0,0.025566,0.004435,0.004484,0,0.036449,0.01323,0.07004,0,0,0.000402,0,0.005433,0.103157,0,0,0.196499,0.006604,0,0.207023,0.010855,0.229613,0.518538,0.000994,1.028733,0.596859,0.015847,0.000391,0.111087,0.01941,0.062362,6.7e-05,0,0,0.062082,0,0,7e-06,0,0,0,0.000498,0,0.034207,0,0,0,0.000413,0.044729,1.1e-05,0,0.001061,0.011315,0,0.000322,0,0,0.006645,0.004456,0.014289,0.000994,0.002512,0,0,0.000411,0.098562,0.001574,0.000601,0,0,0.019148,0,0,0,0.005179,0.011146,0.036349,0.004292,0,0,0,0.001629,0,3e-06,8e-06,0,0,0,0,0,0,0,0,0.038884,0.000374,0,0,3.6e-05,0,0.00022,0.000244,0,0,0,0,0.032692,0,0,0,0.00057,0,0,0,0.00056,0.001991,0.001548,0.006902,0.168038,0,0,0,0,0,2e-06,0.379142,0.000172,0.43068,0,0.45566,0.157283,1.02123,0,0.001846,0,0.003389,0.015565,0,0.002013,0.983358,0.000623,0,0,0.055074,0,0,0.008509,0,0.271235,0,0.028455,0,0,0,0,0.000912,0,0,0,0,0,0
"Dominican Rep.",459.60104,44.37054,1.062359,4.606226,74.386276,0,5.774517,2.640231,0.637289,0.34934,0.253824,0.464705,0.237761,0.822949,0.109357,3.770928,0,2.343708,2.854355,0.8334,2.182043,2.309467,3.564548,3.407232,2.227913,2.959597,0.609909,1.857804,3.95824,9.358971,0.214432,0.162457,0.864665,0.105283,0.048509,8.45758,0.731577,34.243197,4.945741,0,3.167462,135.977559,4.827241,0.309369,11.304642,1.87082,0.021748,0.000267,0.38242,0.001596,2.606607,0,0.034878,0,0,0,0.000166,0.010493,0.011168,0.366501,0.00713,0.061678,0,0.092684,0.933681,0.100991,0.070416,0.009094,0.019063,0.009123,0.009827,0,0.000171,0.006973,1.588475,0.183063,0.348333,0,0,3e-06,0,0,0,0,0,0,0.001274,0,0,0,0.013879,3.3e-05,0,0.011376,0,0.00054,0,0.001683,0.001971,7e-06,0,0,0,0,0,0,0,4.2e-05,0.000906,0.398446,0,0.000267,2.2e-05,0.000104,0.00952,0,0.000652,0.000574,0,0,0,0.106002,0.000287,6.3e-05,0,0.079952,0.004017,0.381519,0.076822,0,0.01,0.049333,1e-06,1.005223,0,6e-06,0,0,0,0,27.85248,0,0.764704,0.509421,1.747409,1.129281,3.063068,0,0.071322,0.543411,0,0.028608,0,0,0.839204,0.016745,1.575226,0.0964,1.126698,0,0.103028,0.267153,0,0.551193,0,0.514704,0,0,0,0,0,0,0,0.00014,0,0.000369,0
"Jamaica",50.691254,9.170418,0.384156,0.228518,0.111776,0.082454,0,2.742226,0.616055,0.138567,0.155525,0.550854,0.195603,0.44651,0.146023,0.055523,0.35751,0.000227,2.1e-05,0.00163,0.000508,0.015256,0.035577,0.060449,1.5e-05,0.687921,0.44101,0.000645,0.069835,0.007879,0,0,0.025984,0.000664,0,5.196424,0.003629,21.156914,0.070959,0,0.380678,0.102124,0.091173,0.001029,0.319252,2e-06,0.00458,0.000904,0,0,0.041829,0,0.00026,0,0,0,0,0,0.001117,0.000107,0,0,0,0,0.124284,0,6.278555,0,0.081423,0,0,2.462059,0,7.9e-05,3e-06,0.007339,4e-06,4.13133,0,0.003197,0,0.00092,0,0,0,0,0,0,0,0,0,0.000206,0,0.000577,0,0,0,1.2e-05,0,3.4e-05,0,0,0,0,0,0,0,0,0,0.000355,0,0.000201,0.00428,0,0,0,0,0,0,0,0,0.00147,0,0.008604,0,0,0.000845,0.010866,6e-06,0,0,0,0.000168,0.038087,0.011421,1.4e-05,0,1.632969,0,0,0.0757,0.029569,0.164542,0,0.291382,1.322556,0.003852,0,0.00029,0.000167,0,0.000283,0,0,0.075344,0,0.010868,0.004668,0.001219,0,8.9e-05,0.000453,0.000277,0.011781,0,0.65983,0,0,0,0,0,0,0,0,0,0,1.1e-05
"Trinidad and Tobago",225.581388,9.06023,0.12957,0.011901,0.214088,1.73173,11.316356,0,14.126979,2.099422,5.85295,5.627993,4.926641,2.019786,2.391885,2.499485,1.413267,0.202622,0.037899,0.00389,0,0.195937,2.260282,9.349069,0.177752,149.003361,13.827041,0.409658,1.519083,13.391719,0.004228,0,0.002881,4.400553,0,2.783908,0,10.913131,0.070482,0,5.642622,0.022962,13.767282,2.615674,1.369688,0.005218,0,0,0,0,1.329296,0,0.001498,0,0,0,0,0,0,0,0,0,0,0,1.513699,0,0,0,0,0,0,0,0.001268,0,0,0.014731,0,0,0,0,0,0,0,0,0,0,0,0,0.008639,0,0,0,0.001658,0.001482,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2.505867,0,0,0,0,4.681414,0,0,0,0,0,0,0.184102,0,0.199149,0,0,0,0,0,0,0.002015,0,0,0.061954,2e-05,0,0,0,0,0,3.632465,0,0.023163,0,4.301836,0.001077,7.63907,0,0.003134,0,0,0,0,0,0.624661,0,0.000502,0.043561,2.015936,0,0,0,0,0.3625,0,0.330165,0,0,0,0,0,0,0,0,0,0,0
"Barbados",3.05677,1.34862,0.431894,0,0.405892,0.211075,2.992835,1.888464,0,0.674615,1.139979,1.540956,0.878077,0.936712,0.526269,0.002013,0.133945,1.6e-05,0,0,0.069478,1.2e-05,0.097764,0,0.019831,2.469611,0.445226,0,0.001365,0,0,0,0,0,0,0.343748,0.004351,0.42647,0,0,0.319337,0.00132,0.367946,0,0.025847,4e-05,0,0,0,0,0.03794,0,0,0.005312,0,0,0,0,0,0,0,0,0,0.0024,0,0,0,0,0,0,0,0,0,0.01,0,0.001828,4e-04,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002599,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.025005,0,0,0,0,0.002,0,0,0,0,0,0,0.963636,0,0.10969,0.0239,0.004,0,0.000401,0,0,0,0,0,0,0,6e-06,0,0,0.208427,0,0,0,0,0,0.000243,0,1e-04,0,0,0,0,0,0,0,0,0,0,0
"Dominica",0.073734,0.000939,0.011177,5.3e-05,0.054055,4.3e-05,0.726888,0.578887,0.110162,0,0.023823,0.11446,0.050949,0.247662,0.642442,0,0,0,0.011327,0,0,0.027427,0.000512,0.000649,0,0.345402,0.079241,0,0,0,0,0,0.000447,0,0,0.001632,0,1.2e-05,1e-06,0,0.131981,0,0,0,0.003397,0.000451,0,0.737664,0,2.3e-05,0.000193,0,0,0,0,0,0,0.000222,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.006489,0,0.000899,0,0,0,0,0.002839,0.205884,0,0,0,0,0,0,0,0,0,0.009328,0,0.000222,0,0,0,0,1.4e-05,0.001197,0,0,0,0,0,0,0,0,0,2e-06,0,0.000871,0.000327,0.001766,0,0,0,0,0,0,0,0,0,0,0.016361,0,0,0,0,0,8.7e-05,0.017085,0.003455,0,0,0,0.002135,0,0,0.000756,0.00673,0.000493,0,9.3e-05,0,0,0,0.049475,0,0,0.001691,0,0.003115,0.002795,0.000898,0.008981,0,0,0,0,0,0,0,0,0.000162,0,0,0,0,0,0,0,0,0,0,0
