"","United States","Canada","Bahamas, The","Cuba","Haiti","Dominican Rep.","Jamaica","Trinidad and Tobago","Barbados","Dominica","Grenada","St. Lucia","St. Vincent and the Grenadines","Antigua and Barbuda","St. Kitts and Nevis","Mexico","Belize","Guatemala","Honduras","El Salvador","Nicaragua","Costa Rica","Panama","Colombia","Venezuela, Rep. Bolivariana de","Guyana","Suriname","Ecuador","Peru","Brazil","Bolivia","Paraguay","Chile","Argentina","Uruguay","United Kingdom","Ireland","Netherlands, The","Belgium","Luxembourg","France","Switzerland","Spain","Portugal","Germany","Poland, Rep. of","Austria","Hungary","Czech Rep.","Slovenia, Rep. of","Italy","San Marino, Rep. of","Malta","Albania","Montenegro","North Macedonia, Republic of","Croatia, Rep. of","Bosnia and Herzegovina","Kosovo, Rep. of","Greece","Cyprus","Bulgaria","Moldova, Rep. of","Romania","Russian Federation","Estonia, Rep. of","Latvia","Lithuania","Ukraine","Belarus, Rep. of","Armenia, Rep. of","Georgia","Azerbaijan, Rep. of","Finland","Sweden","Norway","Denmark","Iceland","Guinea-Bissau","Equatorial Guinea, Rep. of","Gambia, The","Mali","Senegal","Benin","Mauritania, Islamic Rep. of","Niger","Guinea","Burkina Faso","Liberia","Sierra Leone","Ghana","Togo","Cameroon","Nigeria","Gabon","Central African Rep.","Chad","Congo, Rep. of","Uganda","Kenya","Tanzania, United Rep. of","Burundi","Rwanda","Somalia","Djibouti","Angola","Zambia","Zimbabwe","Malawi","South Africa","Namibia","Botswana","Mauritius","Seychelles","Morocco","Algeria","Tunisia","Libya","Sudan","South Sudan, Rep. of","Iran, Islamic Rep. of","Turkey","Iraq","Egypt, Arab Rep. of","Syrian Arab Rep.","Lebanon","Jordan","Israel","Saudi Arabia","Yemen, Rep. of","Kuwait","Bahrain, Kingdom of","Qatar","United Arab Emirates","Oman","Afghanistan, Islamic Rep. of","Turkmenistan","Tajikistan, Rep. of","Uzbekistan, Rep. of","Kazakhstan, Rep. of","China, P.R.: Mainland","Mongolia","Taiwan Province of China","Korea, Dem. People's Rep. of","Korea, Rep. of","Japan","India","Bhutan","Pakistan","Bangladesh","Myanmar","Sri Lanka","Maldives","Nepal","Thailand","Cambodia","Vietnam","Malaysia","Singapore","Brunei Darussalam","Philippines","Indonesia","Timor-Leste, Dem. Rep. of","Australia","Papua New Guinea","New Zealand","Vanuatu","Solomon Islands","Kiribati","Tuvalu","Fiji, Rep. of","Tonga","Nauru, Rep. of","Marshall Islands, Rep. of the","Palau, Rep. of","Micronesia, Federated States of","Samoa"
"United States",0,25963.048857,383.399701,31.088325,123.158315,757.985091,219.509035,226.431203,55.755396,59.783884,11.077916,79.400928,29.64344,47.035433,14.279102,22450.338163,58.824592,584.713376,442.191217,315.551928,139.822459,518.193723,591.34999,1336.357084,77.933862,63.604402,32.659626,486.398659,845.111045,3601.255139,39.631573,131.271921,1442.420649,708.549505,162.250192,5350.92769,684.131574,4011.390687,3173.952436,298.199274,3389.322845,1951.696567,1587.531787,127.259661,5128.014892,363.852365,376.83847,188.951829,206.717379,115.418213,2219.683028,0.077052,23.925801,9.116453,1.307572,4.296915,80.423649,19.015497,0.586008,101.64576,7.953348,52.001695,0.728382,84.54069,427.877693,31.706623,52.4388,89.342159,172.41117,7.641626,5.062622,92.227863,14.840256,157.736166,336.649076,344.865292,256.8234,54.193936,0.035004,33.786586,3.581077,5.290096,13.504147,26.738175,7.24956,3.416776,9.320599,3.806018,8.693742,6.679861,80.222588,92.912919,9.915127,305.859433,5.549309,25.911413,17.158655,12.062003,6.487361,52.120904,18.123237,0.963391,3.42808,4.257878,7.607892,43.119073,5.776941,1.922641,7.627279,483.931124,11.974898,4.487764,2.967866,1.662563,431.744128,141.125838,30.82076,33.919124,0.923126,2.879488,9.753431,859.058302,92.679461,346.915806,0.252341,79.476077,127.087809,1201.566427,1029.584631,14.166563,281.158784,83.678635,432.003208,1931.684916,111.568503,33.915486,2.821826,0.686779,23.804256,47.839955,9074.498651,13.898732,2956.355074,0,4808.288351,6650.064734,3094.216808,0.199572,152.461831,124.540056,21.65847,29.068108,2.770316,9.290999,1024.399809,50.163023,887.115717,1056.059563,2812.360978,18.831704,699.942239,707.558998,0,2006.429652,4.932956,338.772461,0.231547,2.738862,0.035929,0.027257,3.021404,1.167415,0.019507,10.394589,1.549533,2.707713,2.906994
"Canada",30931.872305,0,2.329507,19.887921,2.812269,12.191551,10.918082,17.607061,2.495016,0.380916,0.314813,0.440089,0.336982,1.980776,0.286657,492.146209,1.687433,10.147049,3.366314,3.996564,2.218555,9.401136,29.304924,70.037616,2.404967,2.024735,1.44898,24.925233,50.360696,225.362979,1.081448,0.439652,53.25061,19.546875,6.527021,837.892654,41.491657,439.56548,155.737169,7.799979,229.225787,121.496162,88.4903,10.865306,381.102641,39.699036,13.750725,8.031804,15.57693,3.390036,213.988793,0,0.76848,3.237125,0.245351,0,1.925197,0.162446,0,5.330837,0.876711,8.979499,0.275283,5.548268,39.990442,1.107106,76.95404,4.81781,8.911149,0.26726,0.377354,0.981435,0.967609,37.892244,20.164661,177.876759,11.820814,6.901798,0,0.201568,0.125044,2.054152,4.449953,2.750077,0.889648,0.250297,1.359113,3.498444,0.242632,0.701285,15.824191,2.009851,5.519467,39.524833,0.670874,0.018306,0.25131,0.672302,2.20301,5.264065,2.227676,0.098878,0.117142,0.468021,1.509942,2.685317,2.337293,0.421776,0.177831,22.201843,0.044584,0.056709,0.370923,0.38276,59.53373,20.623977,2.683267,3.782342,3.181158,0.00947,0.323296,126.955735,7.357631,18.514211,0.795121,15.212187,6.322576,25.210566,372.505907,0.614564,7.783297,23.448779,7.585985,97.867039,11.746298,0.255974,0.019454,0.47578,0.273233,7.843995,1628.168408,3.083007,114.921009,0,453.1171,921.540004,318.533575,0.029573,53.691421,106.566884,4.069711,24.661485,1.362065,6.937833,72.142353,2.260911,78.723447,67.307374,102.619918,0.421973,68.818672,83.828546,0.006482,172.380048,0.774343,27.244923,0.001528,0.015635,0,0,0.178319,0,0,0,0,0,0.04846
"Bahamas, The",51.047991,0.528712,0,0,0.009123,0.009458,0.021328,0,0.000543,0.006193,0,7.9e-05,0.002687,0.00118,0.001773,0.002258,0,0,0,0,0,0.00329,9.352833,0,0,0,0.230189,0,0,0.096101,0,0.00269,4e-04,0.687111,0.000417,0.765438,5.404459,0.076065,0.011259,0,0.009575,0.012841,1.342085,0.00029,0.035463,0.017014,0,0,0,0,0.807829,0,0.0051,0,0,3.6e-05,0,0,0.00015,0.018045,0,0,8.9e-05,0,0,0,0,0,0,0,5.3e-05,0,0,0.270157,0.149215,8e-06,5.6e-05,0,0,0,0,0,0,0,0,0,9e-06,0,0,0,0,0,0.006476,0.000215,0,0,0,0,0,0,0.217952,0,0,0,0,0,0,0,0,0.004309,6.2e-05,0,0.004335,0.000621,0,0,0,0,0,0,0,0,0,0,0,0.002539,0,0,0,0,0.000756,0,0,0,0,0,0,0,0,1.7e-05,0.014044,0,0.00114,0.00983,0.078625,0.002143,0.016736,0,0,0,0,0,0.019559,0,0.000248,0,0,0,0.013381,0,0,0,0,0.001369,0,0,0,0,0.001107,0,0,0,0,0,0,0,0
"Cuba",0.614985,1.139458,0.206153,0,0.903517,2.198871,0.297175,0.22075,1.1e-05,0.017331,0.023033,0.029107,0.022859,0.018757,0.022751,0.852929,0.024177,0,0.515097,0.033714,7.1e-05,0.235201,1.143523,0.034369,23.482443,0.104576,0.037581,0.208791,0.107353,0.274134,3.399252,0.038871,0.030867,0.037501,0.055027,1.058763,0.019907,1.102645,2.01313,0,1.862402,3.206538,9.271917,2.693175,5.119386,0.026006,0.000379,0,0.090252,0.002759,1.185018,0,0,0.039312,0.012595,0,0.002195,0.009032,0.000802,0.020081,3.121285,0.003788,0.005107,0,35.331709,0.87542,0,0,0.001266,0.001838,0,0.011206,0,0,0.253697,0.018069,0.000239,0,0.005125,0,0,0.035716,0.152773,0.000609,0.003971,0.023991,0.000121,0,0,0,0.006932,0.002275,0.007105,0,0,0,0,0,0.000299,0,0,0,0.001576,0,0,0.219945,0,0,2.4e-05,0.108127,0,0,0.001169,0.000968,0.063011,0.167046,0.051345,0,0,0,0.209301,4.166569,0,0,0.010396,0.173319,9e-06,0.12879,0.023351,0.00397,6.2e-05,0,0,0.004502,0,0,0,0,0.153407,0,2.709819,0.000244,2.939856,0.005424,1.56761,0.818797,0.002446,2.4e-05,0.317509,0.012629,0,0.004253,0,5e-06,0.08162,0,0.144479,0.052207,0,0,0.190557,0.556512,0,0.457945,0,0.001637,0.000635,0,0,0,0,0,0,0,0,0,0
"Haiti",95.333715,2.325961,0.056051,0.032754,0,1.314409,0.422774,0,0.006173,0.000543,9.3e-05,0.041806,0.003638,0.000484,3.1e-05,3.069,0.004656,0.048019,0.007185,0.001844,0,0.052667,0,1.078335,0,0,0.000462,0,0.003939,0.181567,3.3e-05,0,0.058184,0.040566,0,1.023913,0.000401,0.041469,1.741779,0.005519,0.809541,0.856895,0.79862,0.004105,0.034399,0.005645,0.001435,0.000813,0,0.000401,0.523658,0,0,0,0,0,0.000475,6.7e-05,0,0.00191,0,0,0,0.001425,0.013299,0,0,0.000148,0.001887,0,0.000162,0,0,0.000939,0.003999,0.002699,0.003081,0.002831,0,0,0,0.090724,0.004503,0.000543,0,0,0.022752,0,0,0,0,0.011146,0.029828,0.006882,0,0,0,0.001601,0,0.000751,0,0,0,0,0,0,0,0,0,0.000802,3.2e-05,0,0.002083,3.3e-05,0,0.000221,0,0,0,0,0,0.047423,0,0,0,0,0,0,0.012872,0.000524,0.001564,0.002141,0.012877,0.16453,0,0,0,0,0,2e-06,0.847906,0.000172,0.412811,0,0.1,0.471495,1.037736,0,0,0,0.003533,0.000724,0,0.002261,0.433308,0.000663,0,0,0.1055,0,0,0.025989,0,0.116961,0,0.025866,0,0,0,0,0.001232,0.003451,0,0,0,0,0
"Dominican Rep.",500.417428,25.05759,1.194611,4.700712,83.121908,0,6.719703,2.632822,0.740571,0.407962,0.246042,0.492107,0.267359,0.925396,0.116502,3.539181,0.001098,1.064595,2.384089,0.548643,0.445671,2.172966,3.914301,5.506921,2.042797,1.90897,0.695525,1.690514,1.106566,2.729369,0.175162,0.182681,1.179035,0.103533,0.097083,11.510482,0.660145,24.671737,7.607233,1.1e-05,3.210164,4.12706,12.304841,0.155477,7.490425,2.105595,0.072388,0.024952,0.090855,1.080897,6.651706,0,0.037383,0.025502,0,0,0.00302,0.011522,0.002507,0.250886,0.004809,0.059786,0,0.052961,0.758191,0.025008,0,0,0.036833,0.004912,0.002882,0,0.001075,4.214222,3.084517,0.140707,0.410081,0,0,3e-06,0,0,0,0,0,0,0.001433,0,0,0,0.022272,3.3e-05,0,0.012792,0,0.000607,0,0.001893,0.001971,8e-06,7.1e-05,0,0,0,0,0,0,4.8e-05,0.001018,0.495244,0,0.000267,2.1e-05,9.6e-05,0.001599,0,0.005285,0.000645,0,0,0,0.199188,0.000323,0.002556,0,0.059832,0.00558,0.381519,0.007531,0,0.012094,0.03757,0,1.13927,0,6e-06,0,0,0,0,27.100177,0,0.857007,0.572838,1.455077,1.62933,83.738884,0,0.0616,0.22375,0,0.028608,0,0,0.421394,0.018829,1.575226,0.140372,1.376321,3.9e-05,0.174296,0.30041,0,0.454512,0,0.430435,0,0,0,0,0,0.000686,0,0.000158,0,0.000118,0
"Jamaica",72.829348,4.249431,0.336668,0.460882,0.26283,0.18983,0,1.410791,1.381909,0.294809,0.359802,1.046319,0.270125,0.842196,0.2793,0.07843,0.389654,0.011097,0.003682,0.10175,0.000508,0.56537,0.113176,0.018383,2.8e-05,0.683587,0.890028,2.5e-05,0.115009,0.005477,0,0,0.036085,0.712004,0,5.333753,0.000282,10.966852,0.216788,0,0.025621,0,0.040662,0.000337,0.186878,1e-06,5.3e-05,0.001283,0,0,0.674793,0,5.6e-05,0.003416,0,0,0,0,2.9e-05,0.022475,0.021109,0,0,0.000842,0.06179,0,6.277028,0,0.004335,0,0.001352,3.007487,0,5.6e-05,0.001899,7.12189,0.005426,19.293842,0,0,0,0.000634,0,0,0,0,0,0,0,0,5.805974,0.000206,0,0.001283,0,0,0,2.3e-05,0,6.7e-05,0,0,0,0,0,0,0,0,0,0.000103,0,0.000201,0.00428,0,0,0,0,0,0,0,0,0.000105,0,0.007949,0,0,0,0,3.5e-05,0,0,0,0.002681,0.01382,0,1.4e-05,0,1.136226,0,0,0.045841,0,0.318929,0,0.08396,0.585199,0.026805,0,5.8e-05,0.000167,0,0.000283,0,0,0.025772,0,0.010868,0.003828,0.006814,0,0.005049,0,0.000278,0.026459,0,0.304741,0,0,0,0,0,0,0,0,0,0,2.2e-05
"Trinidad and Tobago",267.902396,5.513685,0.556321,0.244011,0.375753,3.352332,12.685731,0,6.376378,4.219296,5.046552,6.367065,4.154279,2.947815,1.345555,21.650755,0.508879,0,0.116114,0.056573,0,0.768649,1.85535,3.955781,0.459606,34.887417,3.495679,0.455059,0.949738,0.090661,0,0,0.02496,0,0,30.072535,0,1.550932,28.936564,0.066817,6.907791,2.837148,12.255336,2.671294,24.037803,0,0.002065,0,0,0,3.022375,0.018028,0.268321,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.002222,0.043362,0.008016,0.002961,0.093059,0.066178,0,0.00377,0,0,0,0,0.105409,0,0,0,0.462489,0,0,0,0.047087,0.00111,0.011485,0,0,0,0,0,0,0,0,0,0,0,0.018695,0,0,0.001614,0,0,0,0,12.617298,0,0.012651,0,0,0,0,3.512896,0,0,0,0,0,0,0.008767,0,0,0.004659,0.00449,0.03402,0,0,0,0,0,0,6.579262,0,0.306899,0,6.20736,0.027102,0.101879,0,0.018847,0,0,0.001004,0,0,4.140206,0,0.295713,0.005012,0.031091,0.005249,0,0,0,0.014568,0,0,0,0,0,0,0,0,0,0.000552,0,0,0
"Barbados",13.039712,1.566586,0.392149,4.3e-05,0.144234,0.123779,1.567635,2.315377,0,0.817255,0.908948,1.742479,1.034729,1.257563,0.786186,0.050753,0.177652,0,0,1e-06,0.127342,0.000134,0.376822,0.001857,0,3.239177,0.352975,0,0,4e-06,0,0.004364,0.032856,0,0,0.752448,0.018503,0.126471,1.3e-05,0,0.498031,0.000206,0.049599,0,0.015937,0,0,0,0,0,0.001502,0,0,0,0,0,0,0,0,0.005497,0.008421,7.6e-05,0,0,0,0,8.3e-05,2.4e-05,1e-06,0,0,0,0,0,0,0,0.016822,0,0,0,0,0,0,0,0,0,0.001701,0,0,0.089158,0,0,0,0,0,0,0,0,0.000315,0,0,0,0,0,0,0,0,0,0.000708,0.276166,0,0,0,0,0,0,0,0,0,0,0,1e-06,0,0,0,0.073747,0,0.254474,0,0,0,0,0,0.062814,0,0,0,0,0,0,0.003838,0,0.017055,0,0.055178,0,0.011625,0,0.010723,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0.00048,0,0,0,0,0,0,3.3e-05,0,0,0,0,0,0
"Dominica",0.075696,0.027523,0.012573,6e-05,0.060806,4.8e-05,0.817672,0.58762,0.101502,0,0.026799,0.128755,0.057312,0.278594,0.72268,0,2.9e-05,0,0.000618,0,0,0.002351,0.000512,0.000649,0,0.225126,0.089138,0,0,0.00013,0,0,0.000892,0.004717,0,0.002099,2.1e-05,0.00014,0,0,0.047147,0,0,0,0.009876,9e-05,0,0,0,2.3e-05,0.000193,0,0,0,0,0,0,0.001286,0,0,0,0,0,0,0.01867,0,0,0.000591,0,0,0,0,0.00217,1.1e-05,7.4e-05,0,0,0,0,0,0,0.002888,0,0,0,0,0,0.010588,0,0,0,0,0.007655,0,0.00025,0,0,0,0,0,0.002648,0,0,0,0,0,0,0,0,0,0.001116,0,0,0.000303,0.000569,0,0,0,0,0,0,0,0,0,0,0.015051,0,0,1.085618,0,0.001491,0,0.332704,0.003886,0,0,0,0.001486,0,0,0.000755,0,0.000554,0,8.8e-05,0,0,0,0.001384,0,0,0.001466,0,0.003498,0.006396,0.000956,0.008981,0,0,0,0,0,0,0.003806,0,0.001062,0,0,0,0,0,0,0,0,0,0,0
